env_name,DDPG (Mean),DDPG (SE),RFAC (Mean),RFAC (SE)
Acrobot-swingup,3.0637145,0.5937274,3.8728347,1.1567101
Quadruped-run,2.3472047,0.12378779,1.3942614,0.048351314
Quadruped-walk,2.3079054,0.18336944,1.3970128,0.07644335
Humanoid-run,1.340532,0.04639518,1.3035206,0.034510966
Finger-turn_hard,1.3484571,0.03562403,1.7926645,0.282606
Walker-run,1.1792877,0.0053090886,1.2186159,0.0063119116
Cheetah-run,1.306102,0.04634006,1.1996979,0.009435027
Hopper-hop,1.8746586,0.4987302,1.6320202,0.21975435
