env_name,DDPG (Mean),DDPG (SE),RFAC (Mean),RFAC (SE)
Acrobot-swingup,155.2,51.08972499436653,197.0,57.35154749437891
Quadruped-run,234.2,20.033971149025845,172.6,9.624967532412773
Quadruped-walk,220.4,27.2,190.4,8.63944442658207
Humanoid-run,30.6,4.63033476111609,224.6,18.271288952889996
Finger-turn_hard,126.2,9.66229786334493,210.2,10.665833300778706
Walker-run,281.0,3.794733192202055,248.4,7.08801805866774
Cheetah-run,229.8,5.114684741017769,202.6,9.971960689854328
Hopper-hop,179.0,34.531145361832415,237.6,24.19586741573858
