env_name,DDPG (Mean),DDPG (SE),RFAC (Mean),RFAC (SE)
Acrobot-swingup,6353.1523,1315.5093,9565.157,3217.7524
Quadruped-run,15311.49,1323.0334,35559.156,2064.0125
Quadruped-walk,16771.908,1315.0122,41944.32,3513.6462
Humanoid-run,1479.845,139.8874,5266.317,935.64746
Finger-turn_hard,13376.68,648.46246,26066.355,2689.3032
Walker-run,11598.881,422.92148,16709.676,379.1298
Cheetah-run,10872.878,273.13974,14089.192,388.2535
Hopper-hop,7040.3135,3209.84,10017.667,2099.554
